model,row_i,tag,sample_name,jaw,path,inference_dir,png_all,png_errors,png_d21,xyz_npy,gt_npy,pred_npy,acc_all,acc_no_bg,f1_macro,iou_macro,d21_acc,d21_f1,d21_iou,d21_bin_acc_all,d21_bin_f1_all,d21_bin_iou_all,score_composite
PointNet,0,test_row0_01MAVHYZ,01MAVHYZ,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01MAVHYZ,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row0_01MAVHYZ.png,inference_errors/test_row0_01MAVHYZ.png,inference_d21/test_row0_01MAVHYZ.png,predictions/test_row0_01MAVHYZ_xyz.npy,predictions/test_row0_01MAVHYZ_gt.npy,predictions/test_row0_01MAVHYZ_pred.npy,0.897216796875,0.9261294261294262,0.9332586952858141,0.8766052733618991,0.9920634920574356,0.958199356882373,0.9197530863629781,0.9926757812487882,0.8324022346136201,0.7129186602529703,0.9315656706031148
PointNet,1,test_row1_01FR2S9H,01FR2S9H,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01FR2S9H,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row1_01FR2S9H.png,inference_errors/test_row1_01FR2S9H.png,inference_d21/test_row1_01FR2S9H.png,predictions/test_row1_01FR2S9H_xyz.npy,predictions/test_row1_01FR2S9H_gt.npy,predictions/test_row1_01FR2S9H_pred.npy,0.904541015625,0.9285714285714286,0.7873740081530296,0.7422542845274792,0.9969474969414106,0.9856733524072873,0.9717514123744773,0.9942626953112862,0.8797953963969362,0.7853881278180188,0.8752437493737709
PointNet,2,test_row2_01AVY0SK,01AVY0SK,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/01AVY0SK,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row2_01AVY0SK.png,inference_errors/test_row2_01AVY0SK.png,inference_d21/test_row2_01AVY0SK.png,predictions/test_row2_01AVY0SK_xyz.npy,predictions/test_row2_01AVY0SK_gt.npy,predictions/test_row2_01AVY0SK_pred.npy,0.9124755859375,0.9444444444444444,0.9493640305796841,0.9056544866843395,0.9914529914469387,0.9435483870587279,0.8931297709241885,0.9962158203112839,0.8830188678912068,0.7905405404871256,0.9355288228453698
PointNet,4,test_row4_OEIWQQMQ,OEIWQQMQ,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/OEIWQQMQ,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row4_OEIWQQMQ.png,inference_errors/test_row4_OEIWQQMQ.png,inference_d21/test_row4_OEIWQQMQ.png,predictions/test_row4_OEIWQQMQ_xyz.npy,predictions/test_row4_OEIWQQMQ_gt.npy,predictions/test_row4_OEIWQQMQ_pred.npy,0.88525390625,0.7423687423687424,0.55384521080659,0.4675725481112927,0.9877899877839574,0.9507389162327404,0.9061032863424364,0.9941406249987863,0.889400921638493,0.8008298754854427,0.7307238978458408
PointNet,5,test_row5_6BWQC0CT,6BWQC0CT,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/6BWQC0CT,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row5_6BWQC0CT.png,inference_errors/test_row5_6BWQC0CT.png,inference_d21/test_row5_6BWQC0CT.png,predictions/test_row5_6BWQC0CT_xyz.npy,predictions/test_row5_6BWQC0CT_gt.npy,predictions/test_row5_6BWQC0CT_pred.npy,0.92578125,0.9548229548229549,0.950448432424527,0.9068557441254498,0.9981684981624044,0.990228012997061,0.9806451612270551,0.9943847656237861,0.8685714285466122,0.7676767676379961,0.9594400506360247
PointNet,6,test_row6_MC39MU3H,MC39MU3H,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/MC39MU3H,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row6_MC39MU3H.png,inference_errors/test_row6_MC39MU3H.png,inference_d21/test_row6_MC39MU3H.png,predictions/test_row6_MC39MU3H_xyz.npy,predictions/test_row6_MC39MU3H_gt.npy,predictions/test_row6_MC39MU3H_pred.npy,0.928955078125,0.9652014652014652,0.9625111486307153,0.9289887420586573,0.9969474969414106,0.9803921568242984,0.961538461464497,0.9967041015612832,0.9025270757796922,0.8223684209985284,0.9630710510844924
PointNet,7,test_row7_ASUXPX7O,ASUXPX7O,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/ASUXPX7O,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row7_ASUXPX7O.png,inference_errors/test_row7_ASUXPX7O.png,inference_d21/test_row7_ASUXPX7O.png,predictions/test_row7_ASUXPX7O_xyz.npy,predictions/test_row7_ASUXPX7O_gt.npy,predictions/test_row7_ASUXPX7O_pred.npy,0.9259033203125,0.9664224664224664,0.9637010168778414,0.9305986667750181,0.99511599510992,0.9738562091185015,0.9490445859268124,0.996093749998784,0.9030303030029384,0.8232044198440218,0.9605030254724656
PointNet,8,test_row8_U1HFBZ1F,U1HFBZ1F,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/U1HFBZ1F,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row8_U1HFBZ1F.png,inference_errors/test_row8_U1HFBZ1F.png,inference_d21/test_row8_U1HFBZ1F.png,predictions/test_row8_U1HFBZ1F_xyz.npy,predictions/test_row8_U1HFBZ1F_gt.npy,predictions/test_row8_U1HFBZ1F_pred.npy,0.8980712890625,0.9713064713064713,0.9735712777095019,0.9493138580949475,0.9926739926679324,0.9571428571086734,0.9178082191152186,0.9910888671862901,0.7859237536426416,0.6473429951378095,0.9592927125054491
PointNet,9,test_row9_QVUPP39R,QVUPP39R,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/QVUPP39R,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row9_QVUPP39R.png,inference_errors/test_row9_QVUPP39R.png,inference_d21/test_row9_QVUPP39R.png,predictions/test_row9_QVUPP39R_xyz.npy,predictions/test_row9_QVUPP39R_gt.npy,predictions/test_row9_QVUPP39R_pred.npy,0.8599853515625,0.8980463980463981,0.8954778762099398,0.8196084630279181,0.9725274725215353,0.8117154811375851,0.6830985915011902,0.9819335937488013,0.5672514619717178,0.39591836733077884,0.8346293253782571
PointNet,10,test_row10_017APYC4,017APYC4,upper,/home/htaucare/Tesis_Amaro/data/Teeth_3ds/processed_struct_safe/200000/upper/017APYC4,/home/htaucare/Tesis_Amaro/outputs/pointnet_classic/grid_pro_runner_v1/exp03_bs16_lr3e4_do05_bg003_amp/inference,inference_all/test_row10_017APYC4.png,inference_errors/test_row10_017APYC4.png,inference_d21/test_row10_017APYC4.png,predictions/test_row10_017APYC4_xyz.npy,predictions/test_row10_017APYC4_gt.npy,predictions/test_row10_017APYC4_pred.npy,0.897705078125,0.9053724053724054,0.90789323963519,0.8373422293093576,0.9890109890049511,0.9379310344504161,0.8831168830595378,0.9929199218737879,0.8242424242174472,0.7010309277989158,0.905274384461345
